   208
-30.4198 151.6280 
-32.8110 136.0565 
-30.6147 116.7091 
-35.3208 148.9986 
-13.9563 143.1757 
-20.0882 146.2545 
-25.3691 151.0817 
-18.1020 125.6390 
-30.7790 128.0590 
-31.6601 137.0300 
-31.9891 134.8819 
-32.5201 136.4900 
-33.7909 135.8170 
-15.6580 130.4773 
-16.0128 128.0000 
-15.9282 127.2478 
-16.8195 124.9123 
-18.1822 124.7772 
-18.8680 126.2418 
-17.2813 127.4645 
-16.5962 128.4795 
-15.6243 131.1277 
-15.9122 128.1225 
-16.1020 126.6010 
-16.6977 125.9195 
-17.3462 126.0985 
-17.0828 125.7158 
-17.5607 124.8298 
-17.7528 124.5268 
-18.2517 123.6607 
-20.2520 121.7118 
-18.1938 127.8173 
-14.7990 126.5022 
-31.3669 121.8821 
-19.5800 137.1300 
-26.2088 114.2875 
-24.9649 114.8013 
-23.1531 114.5476 
-22.4859 115.4450 
-21.5608 115.8901 
-23.3833 117.0333 
-21.1590 119.7312 
-36.6541 140.4311 
-37.0663 139.8564 
-37.1784 140.6093 
-37.4788 140.3577 
-37.5406 140.9241 
-37.8647 140.8707 
-31.9783 116.2083 
-32.9266 117.2333 
-35.7652 149.4090 
-35.4955 148.0980 
-35.2290 147.6257 
-34.9980 146.6135 
-34.6998 146.1763 
-34.5662 144.6528 
-34.4805 143.5713 
-32.9913 150.6642 
-32.1825 149.8033 
-32.0085 149.2282 
-31.9653 148.0938 
-31.7558 147.4015 
-31.6185 146.5320 
-31.4170 144.9023 
-31.3803 143.4937 
-29.9238 150.5903 
-30.8822 145.8690 
-34.4073 149.3923 
-33.3585 145.0402 
-33.9310 142.3783 
-35.8255 147.6573 
-36.9523 145.7715 
-36.5412 141.9637 
-20.8903 117.6393 
-20.6287 118.7238 
-13.9594 143.1786 
-17.3644 144.4853 
-20.3386 142.6667 
-22.9436 140.1428 
-23.2033 144.2722 
-22.8981 148.3067 
-26.0328 146.7803 
-25.7834 139.5834 
-26.5001 142.8834 
-28.6000 140.2502 
-29.3334 145.0001 
-31.8868 141.5835 
-35.0334 140.1335 
-34.6501 144.5001 
-37.4168 141.9668 
-32.2834 146.8501 
-28.6501 149.0001 
-13.4000 131.5017 
-14.8857 134.0045 
-16.6298 129.3168 
-16.6055 133.3075 
-16.9670 135.7839 
-19.1437 128.1179 
-22.2748 131.3672 
-25.1900 133.3241 
-25.1907 133.3251 
-27.0515 125.1857 
-28.5104 128.9887 
-29.0013 133.5851 
-28.4963 135.9021 
-31.0807 125.3261 
-30.7208 130.4109 
-30.4324 139.4215 
-32.8436 136.0657 
-31.8769 141.5950 
-18.2300 133.3600 
-40.9743 145.1336 
-41.0399 145.2852 
-41.0706 145.0582 
-41.1899 145.7724 
-41.3196 145.6690 
-41.3820 145.8263 
-42.0356 145.5925 
-42.0302 146.8181 
-42.6319 146.6880 
-42.2749 147.3147 
-41.3366 147.3378 
-41.5586 146.8487 
-40.0209 148.0576 
-42.9099 147.3204 
-37.2472 147.7519 
-38.3535 146.3230 
-37.0967 145.4099 
-38.2268 143.7419 
-18.0011 141.6351 
-18.9266 144.4785 
-20.1466 139.4055 
-21.6755 140.9750 
-22.7182 144.4989 
-22.2564 137.9579 
-22.9605 135.6676 
-25.1977 142.6380 
-25.6821 134.7647 
-27.3609 142.4769 
-27.6465 145.6260 
-27.6342 135.5968 
-29.7267 137.8827 
-29.8200 141.9250 
-30.7410 137.2283 
-31.4167 144.9017 
-31.6571 139.5719 
-32.5109 138.8831 
-33.3408 141.4514 
-35.7226 142.5314 
-37.5714 145.4906 
-19.9442 134.3525 
-28.3210 116.9355 
-28.2415 117.4418 
-28.2945 118.3023 
-28.0352 118.8367 
-28.6805 118.8250 
-29.2823 121.2572 
-31.2135 121.0932 
-30.2113 121.0848 
-31.0228 122.5985 
-29.9692 122.5463 
-30.4755 122.7078 
-28.9500 122.5167 
-31.2568 119.8232 
-29.7638 121.7243 
-28.8710 122.7795 
-22.5431 116.1192 
-23.9436 119.9672 
-24.4078 115.3739 
-26.1861 121.9324 
-26.3237 117.9824 
-28.3841 115.8435 
-28.4754 122.4517 
-30.7247 118.3518 
-32.0364 122.7921 
-32.8560 119.6784 
-34.0058 116.0545 
-19.9336 134.3600 
-27.4222 118.9104 
-26.1036 119.1048 
-25.5353 118.7924 
-24.9813 118.7502 
-24.3993 118.9733 
-23.5312 119.1585 
-31.8453 116.6072 
-31.8315 117.2649 
-31.5081 117.7736 
-31.2958 118.3594 
-31.1258 118.9390 
-31.1275 120.5363 
-30.7807 121.7726 
-30.4184 122.5106 
-28.4159 119.7000 
-28.6642 120.4557 
-28.6891 120.9649 
-28.6564 121.4950 
-28.6825 122.0287 
-31.3535 115.7154 
-37.3500 147.3200 
-37.4000 144.6300 
-41.3000 145.5800 
-41.3200 147.4100 
-37.3401 141.9227 
-36.6581 149.3412 
-33.6004 148.7065 
-31.5320 151.0995 
-29.6751 151.9177 
-34.2980 148.3963 
